id,urdu_text,english_text
1,پاکستان ایک خوبصورت ملک ہے,Pakistan is a beautiful country
2,آج موسم بہت اچھا ہے,The weather is very nice today
3,مصنوعی ذہانت مستقبل کی ٹیکنالوجی ہے,Artificial intelligence is the technology of the future
4,میں ہر روز ایک نیا پروجیکٹ بناتا ہوں,I build a new project every day
5,کراچی پاکستان کا سب سے بڑا شہر ہے,Karachi is the largest city of Pakistan
6,علم حاصل کرنا ہر مسلمان پر فرض ہے,Seeking knowledge is obligatory for every Muslim
7,محنت کامیابی کی کنجی ہے,Hard work is the key to success
8,پاکستانی کھانا بہت مزیدار ہوتا ہے,Pakistani food is very delicious
9,لاہور پاکستان کا دل ہے,Lahore is the heart of Pakistan
10,ہم مل کر کچھ بھی کر سکتے ہیں,Together we can do anything
